id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
6b47c5db,Wilfred Ndidi,ng NGA,MF,Leicester City,20,1996,32.2,138,89,68,65,5,45,119,37.8,74,67,10,57,51,189,103,2,Matches
c5bdb6e3,Reiss Nelson,eng ENG,"FW,MF",Arsenal,17,1999,1.6,4,3,1,1,2,0,0,,0,4,0,4,3,7,0,0,Matches
87449a74,Julien Ngoy,be BEL,MF,Stoke City,19,1997,0.2,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
af721f98,Oumar Niasse,sn SEN,FW,Everton,27,1990,12.1,10,6,2,5,3,4,19,21.1,15,3,2,1,2,12,6,0,Matches
a53649b7,Eddie Nketiah,eng ENG,FW,Arsenal,18,1999,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
0cc5f4a5,Lukas Nmecha,de GER,FW,Manchester City,18,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
ff527768,Mark Noble,eng ENG,MF,West Ham,30,1987,26.7,61,36,32,22,7,16,76,21.1,60,28,10,18,47,108,32,1,Matches
97572117,Allan Nyom,cm CMR,DF,West Brom,29,1988,25.7,64,39,43,17,4,28,43,65.1,15,20,9,11,27,91,93,0,Matches
c7aee75b,Aiden O'Neill,au AUS,MF,Burnley,19,1998,0.0,,,,,,,,,,,,,,,,,Matches
caa1a7f0,Michael Obafemi,ie IRL,FW,Southampton,17,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
ba1e04b3,Pedro Obiang,gq EQG,MF,West Ham,25,1992,17.4,53,34,20,29,4,17,51,33.3,34,37,16,21,24,77,27,1,Matches
74b2cd7e,Angelo Ogbonna,it ITA,DF,West Ham,29,1988,32.0,30,24,18,10,2,8,18,44.4,10,40,27,13,58,88,197,1,Matches
601ef102,Stefano Okaka,it ITA,FW,Watford,27,1989,5.0,6,4,0,6,0,3,6,50.0,3,3,0,3,0,6,0,0,Matches
68796d61,Shinji Okazaki,jp JPN,"FW,MF",Leicester City,31,1986,14.7,25,16,3,18,4,4,28,14.3,24,15,1,14,8,33,6,0,Matches
2f72f79e,Martin Olsson,se SWE,DF,Swansea City,29,1988,35.0,34,26,18,10,6,12,29,41.4,17,21,4,17,31,65,81,0,Matches
43a166b4,Divock Origi,be BEL,FW,Liverpool,22,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
82b1198a,David Ospina,co COL,GK,Arsenal,28,1988,4.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
0d267745,Nicolás Otamendi,ar ARG,DF,Manchester City,29,1988,33.0,58,43,35,22,1,19,44,43.2,25,21,10,11,48,106,129,3,Matches
8b6e0db2,Reece Oxford,eng ENG,MF,West Ham,18,1998,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
38c7feef,Alex Oxlade-Chamberlain,eng ENG,DF,Arsenal,23,1993,2.7,5,3,2,2,1,2,3,66.7,1,5,2,3,6,11,8,0,Matches
38c7feef,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,23,1993,16.6,32,21,13,14,5,6,21,28.6,15,24,0,24,20,52,14,0,Matches
16380240,Mesut Özil,de GER,"MF,FW",Arsenal,28,1988,24.0,20,13,6,10,4,5,22,22.7,17,11,1,10,12,32,9,0,Matches
453f566a,Kasey Palmer,jm JAM,"MF,FW",Huddersfield,20,1996,1.9,6,3,2,3,1,2,8,25.0,6,5,0,5,0,6,2,0,Matches
e0bc6fdc,Emerson Palmieri,it ITA,DF,Chelsea,22,1994,3.1,6,4,4,2,0,5,5,100.0,0,2,0,2,2,8,10,0,Matches
3ca7254a,Pedro,es ESP,"MF,FW",Chelsea,30,1987,16.9,20,11,6,8,6,5,18,27.8,13,13,1,12,13,33,7,1,Matches
75f2c59f,Roberto Pereyra,ar ARG,"MF,FW",Watford,26,1991,18.0,10,8,4,5,1,2,13,15.4,11,16,0,16,9,19,6,0,Matches
819aa8e7,Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,24,1993,27.7,39,21,11,15,13,12,54,22.2,42,36,1,35,24,63,28,0,Matches
7bb5f40e,Matt Phillips,sct SCO,"MF,DF",West Brom,26,1991,23.3,27,16,17,5,5,10,29,34.5,19,21,1,20,24,51,43,0,Matches
4806ec67,Jordan Pickford,eng ENG,GK,Everton,23,1994,38.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,26,5,Matches
a634b9d2,Jérémy Pied,fr FRA,DF,Southampton,28,1989,2.0,9,6,8,1,0,6,9,66.7,3,3,2,1,8,17,4,0,Matches
1ef37668,Erik Pieters,nl NED,DF,Stoke City,28,1988,30.2,71,47,43,26,2,24,51,47.1,27,70,25,45,61,132,127,5,Matches
867239d3,Paul Pogba,fr FRA,MF,Manchester Utd,24,1993,23.9,33,23,13,15,5,5,33,15.2,28,16,0,16,21,54,26,0,Matches
4b40d9ca,Nick Pope,eng ENG,GK,Burnley,25,1992,34.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,21,0,Matches
ff9fcd4d,Alex Pritchard,eng ENG,"MF,FW",Huddersfield,24,1993,11.1,18,8,2,6,10,10,21,47.6,11,6,1,5,5,23,11,0,Matches
f5e6d08d,Sebastian Prödl,at AUT,DF,Watford,30,1987,17.4,22,17,19,3,0,8,15,53.3,7,20,9,11,31,53,92,1,Matches
fdd85f94,Davy Pröpper,nl NED,MF,Brighton,25,1991,34.7,73,44,35,35,3,18,83,21.7,65,35,11,24,60,133,80,2,Matches
9aacb284,Marc Pugh,eng ENG,"MF,FW",Bournemouth,30,1987,10.9,7,3,2,4,1,2,10,20.0,8,6,1,5,13,20,13,2,Matches
fd3f57ce,Jason Puncheon,eng ENG,MF,Crystal Palace,31,1986,7.2,13,4,3,7,3,1,5,20.0,4,3,0,3,5,18,4,0,Matches
19b8b0b9,Collin Quaner,de GER,"FW,MF",Huddersfield,26,1991,14.2,22,15,8,8,6,9,26,34.6,17,24,4,20,11,33,15,0,Matches
833fb62e,Sandro Ramírez,es ESP,"FW,MF",Everton,22,1995,3.1,2,1,0,1,1,0,3,0.0,3,1,0,1,1,3,0,0,Matches
ef619b0b,Aaron Ramsey,wls WAL,MF,Arsenal,26,1990,20.5,35,27,18,17,0,8,44,18.2,36,14,3,11,24,59,6,1,Matches
93ee387c,Àngel Rangel,es ESP,DF,Swansea City,34,1982,1.7,4,3,2,2,0,1,3,33.3,2,0,0,0,3,7,4,0,Matches
a1d5bd30,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,19,1997,20.1,14,11,4,5,5,6,18,33.3,12,18,0,18,8,22,19,0,Matches
ab651565,Nathan Redmond,eng ENG,"FW,MF",Southampton,23,1994,21.6,32,17,16,14,2,12,31,38.7,19,20,0,20,15,47,17,2,Matches
562eed5c,Winston Reid,nz NZL,DF,West Ham,29,1988,16.1,11,9,7,4,0,4,15,26.7,11,27,14,13,22,33,104,0,Matches
1c7012b8,Declan Rice,eng ENG,"DF,MF",West Ham,18,1999,15.9,36,24,25,10,1,15,25,60.0,10,19,13,6,27,63,77,1,Matches
fa031b34,Richarlison,br BRA,"FW,MF",Watford,20,1997,31.4,64,44,26,28,10,10,39,25.6,29,39,5,34,24,88,32,1,Matches
7a1f2c08,Jaïro Riedewald,nl NED,"MF,DF",Crystal Palace,20,1996,4.9,11,8,6,4,1,0,2,0.0,2,7,1,6,12,23,13,0,Matches
71ef519e,Matt Ritchie,sct SCO,"MF,FW",Newcastle Utd,27,1989,31.2,46,32,22,18,6,14,53,26.4,39,37,5,32,35,81,63,1,Matches
24fae784,Connor Roberts,wls WAL,DF,Swansea City,21,1995,3.0,6,4,5,1,0,3,3,100.0,0,2,0,2,3,9,6,0,Matches
2e4f5f03,Andrew Robertson,sct SCO,DF,Liverpool,23,1994,21.6,31,17,19,9,3,15,29,51.7,14,22,2,20,26,57,56,0,Matches
fb2dec57,Hal Robson-Kanu,wls WAL,"FW,MF",West Brom,28,1989,9.2,5,4,1,2,2,0,13,0.0,13,9,3,6,4,9,9,0,Matches
4ab53cdb,Jay Rodriguez,eng ENG,"FW,MF",West Brom,28,1989,31.2,31,21,12,11,8,9,50,18.0,41,32,2,30,19,50,41,0,Matches
e0991c04,Marcos Rojo,ar ARG,DF,Manchester Utd,27,1990,7.1,7,5,6,0,1,1,8,12.5,7,11,6,5,7,14,56,2,Matches
1e26e376,Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
4b511457,Oriol Romeu,es ESP,MF,Southampton,25,1991,32.2,93,64,41,44,8,32,100,32.0,68,59,19,40,69,162,77,2,Matches
b318a643,Salomón Rondón,ve VEN,FW,West Brom,27,1989,30.7,14,6,0,7,7,5,26,19.2,21,27,0,27,14,28,20,0,Matches
f07be45a,Wayne Rooney,eng ENG,"MF,FW",Everton,31,1985,25.2,28,19,11,13,4,10,42,23.8,32,25,6,19,16,44,43,2,Matches
89d10e53,Danny Rose,eng ENG,DF,Tottenham,27,1990,8.9,15,11,6,7,2,8,15,53.3,7,12,6,6,9,24,15,0,Matches
8b0d6fe9,Liam Rosenior,eng ENG,DF,Brighton,33,1984,1.8,4,3,2,1,1,2,5,40.0,3,2,1,1,4,8,7,0,Matches
1d387eee,Wayne Routledge,eng ENG,"MF,FW",Swansea City,32,1985,4.8,10,5,2,6,2,2,8,25.0,6,5,0,5,2,12,5,0,Matches
18b896d6,Antonio Rüdiger,de GER,DF,Chelsea,24,1993,26.0,31,21,20,10,1,15,31,48.4,16,29,15,14,24,55,115,1,Matches
4535e4bb,Mathew Ryan,au AUS,GK,Brighton,25,1992,38.0,0,0,0,0,0,0,3,0.0,3,0,0,0,3,3,10,3,Matches
4830e0af,Abdelhamid Sabiri,ma MAR,MF,Huddersfield,20,1996,2.4,5,4,2,0,3,1,7,14.3,6,4,0,4,1,6,2,0,Matches
f3709655,Henri Saivet,sn SEN,MF,Newcastle Utd,26,1990,0.9,5,3,4,1,0,2,5,40.0,3,0,0,0,4,9,8,1,Matches
57c433c8,Diafra Sakho,sn SEN,FW,West Ham,27,1989,3.4,5,2,1,4,0,0,3,0.0,3,3,0,3,1,6,2,0,Matches
87935cf3,Mamadou Sakho,fr FRA,DF,Crystal Palace,27,1990,17.8,21,14,15,5,1,9,16,56.3,7,19,11,8,30,51,101,3,Matches
381d7d54,Bakary Sako,ml MLI,"FW,MF",Crystal Palace,29,1988,5.3,7,6,5,0,2,2,9,22.2,7,2,0,2,1,8,2,0,Matches
e342ad68,Mohamed Salah,eg EGY,FW,Liverpool,25,1992,32.3,12,6,2,5,5,3,23,13.0,20,10,0,10,5,17,5,0,Matches
032f894e,Renato Sanches,pt POR,MF,Swansea City,19,1997,7.8,12,7,6,6,0,6,18,33.3,12,9,1,8,7,19,5,1,Matches
2c0f8e9e,Alexis Sánchez,cl CHI,"MF,FW",Arsenal,28,1988,16.7,20,9,9,4,7,7,32,21.9,25,5,2,3,6,26,1,0,Matches
2c0f8e9e,Alexis Sánchez,cl CHI,"FW,MF",Manchester Utd,28,1988,11.6,21,17,10,4,7,4,27,14.8,23,8,0,8,17,38,0,0,Matches
da7b447d,Davinson Sánchez,co COL,DF,Tottenham,21,1996,28.2,38,24,28,9,1,18,40,45.0,22,26,10,16,38,76,162,0,Matches
2b114be3,Leroy Sané,de GER,FW,Manchester City,21,1996,26.9,27,21,14,7,6,8,22,36.4,14,22,1,21,13,40,6,0,Matches
a6e316c1,Ezequiel Schelotto,it ITA,DF,Brighton,28,1989,14.6,20,13,14,6,0,12,27,44.4,15,7,3,4,19,39,58,2,Matches
8ae9869d,Christopher Schindler,de GER,DF,Huddersfield,27,1990,36.3,83,61,56,27,0,24,41,58.5,17,54,30,24,75,158,275,1,Matches
3312f911,Jeffrey Schlupp,gh GHA,"DF,MF",Crystal Palace,24,1992,19.4,57,36,35,20,2,23,43,53.5,20,34,8,26,24,81,67,0,Matches
53af52f3,Kasper Schmeichel,dk DEN,GK,Leicester City,30,1986,32.9,1,0,1,0,0,1,3,33.3,2,1,0,1,0,1,18,5,Matches
51b41c5c,Morgan Schneiderlin,fr FRA,MF,Everton,27,1989,23.7,58,40,34,21,3,15,44,34.1,29,18,7,11,61,119,59,1,Matches
6421ec64,Xherdan Shaqiri,ch SUI,"MF,FW",Stoke City,25,1991,33.8,25,17,9,11,5,10,39,25.6,29,9,1,8,16,41,6,2,Matches
9c94165b,Luke Shaw,eng ENG,DF,Manchester Utd,22,1995,8.8,18,15,10,7,1,11,18,61.1,7,16,2,14,4,22,22,1,Matches
285a3d44,Ryan Shawcross,eng ENG,DF,Stoke City,29,1987,26.3,36,20,25,9,2,13,25,52.0,12,33,23,10,40,76,224,1,Matches
3727dd3c,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,25,1992,25.2,39,24,17,21,1,8,26,30.8,18,26,5,21,28,67,33,0,Matches
76dd1480,Gylfi Sigurðsson,is ISL,"MF,FW",Everton,27,1989,25.1,38,26,15,14,9,16,57,28.1,41,37,7,30,34,72,36,0,Matches
d6f88a1d,Adrien Silva,pt POR,MF,Leicester City,28,1989,8.5,22,13,8,13,1,6,28,21.4,22,12,2,10,14,36,0,0,Matches
3eb22ec9,Bernardo Silva,pt POR,"FW,MF",Manchester City,22,1994,17.0,27,18,11,9,7,6,30,20.0,24,17,1,16,10,37,12,1,Matches
e2716bd0,David Silva,es ESP,MF,Manchester City,31,1986,27.0,32,21,11,17,4,9,45,20.0,36,28,5,23,18,50,7,0,Matches
3201b03d,Danny Simpson,eng ENG,DF,Leicester City,30,1987,25.6,38,22,31,6,1,22,45,48.9,23,31,19,12,34,72,132,1,Matches
76fa5f80,Jack Simpson,eng ENG,DF,Bournemouth,20,1996,0.8,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,4,0,Matches
6d6f09dc,Josh Sims,eng ENG,"FW,MF",Southampton,20,1997,1.8,4,3,1,2,1,2,7,28.6,5,5,0,5,1,5,0,0,Matches
1695c659,Jerome Sinclair,eng ENG,"MF,FW",Watford,20,1996,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
2acd49b9,Moussa Sissoko,fr FRA,"MF,FW",Tottenham,27,1989,15.4,23,17,14,5,4,9,12,75.0,3,11,1,10,9,32,23,1,Matches
ffec9769,Islam Slimani,dz ALG,FW,Leicester City,29,1988,2.8,2,2,1,1,0,1,4,25.0,3,2,0,2,0,2,2,0,Matches
ffec9769,Islam Slimani,dz ALG,FW,Newcastle Utd,29,1988,1.5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,Matches
b6964eb6,Chris Smalling,eng ENG,DF,Manchester Utd,27,1989,28.2,40,25,28,12,0,16,28,57.1,12,32,28,4,63,103,162,1,Matches
20b104bc,Adam Smith,eng ENG,"DF,MF",Bournemouth,26,1991,23.0,50,36,33,16,1,24,53,45.3,29,46,8,38,31,81,73,0,Matches
e9208654,Tommy Smith,eng ENG,DF,Huddersfield,25,1992,21.2,38,27,18,14,6,23,36,63.9,13,22,6,16,26,64,80,3,Matches
839c14e1,Cédric Soares,pt POR,DF,Southampton,25,1991,31.0,54,34,40,10,4,22,31,71.0,9,32,8,24,24,78,109,2,Matches
98be0d02,Ramadan Sobhi,eg EGY,"MF,FW",Stoke City,20,1997,13.8,32,21,17,14,1,11,36,30.6,25,14,0,14,14,46,14,0,Matches
e77dc3b2,Dominic Solanke,eng ENG,FW,Liverpool,19,1997,6.6,7,4,0,6,1,1,4,25.0,3,5,1,4,2,9,9,0,Matches
46b5375e,Pape Souaré,sn SEN,DF,Crystal Palace,27,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
8e65a5e5,Julián Speroni,ar ARG,GK,Crystal Palace,38,1979,11.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Matches
861e0116,Kostas Stafylidis,gr GRE,"DF,MF",Stoke City,23,1993,3.7,12,6,6,4,2,6,9,66.7,3,7,2,5,5,17,19,0,Matches
6992791d,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,27,1989,14.3,16,8,8,4,4,7,15,46.7,8,21,6,15,6,22,15,0,Matches
653ee42d,Dale Stephens,eng ENG,MF,Brighton,28,1989,36.0,104,62,63,39,2,32,114,28.1,82,53,16,37,63,167,69,1,Matches
6adbc307,Jack Stephens,eng ENG,DF,Southampton,23,1994,22.0,29,20,24,5,0,13,25,52.0,12,30,18,12,41,70,108,2,Matches
b400bde0,Raheem Sterling,eng ENG,FW,Manchester City,22,1994,28.7,19,14,7,7,5,3,32,9.4,29,24,0,24,9,28,9,0,Matches
5eecec3d,John Stones,eng ENG,DF,Manchester City,23,1994,14.5,15,11,11,4,0,4,11,36.4,7,8,5,3,19,34,44,0,Matches
1b7ec703,Daniel Sturridge,eng ENG,FW,West Brom,27,1989,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1b7ec703,Daniel Sturridge,eng ENG,FW,Liverpool,27,1989,4.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
1d8c99b0,Ki Sung-yueng,kr KOR,MF,Swansea City,28,1989,20.8,25,18,10,13,2,4,16,25.0,12,16,1,15,32,57,23,0,Matches
7d41b619,Andrew Surman,eng ENG,MF,Bournemouth,30,1986,20.6,16,12,5,8,3,6,23,26.1,17,33,12,21,16,32,52,2,Matches
7391c2d9,Markus Suttner,at AUT,DF,Brighton,30,1987,13.1,25,15,18,4,3,10,22,45.5,12,16,2,14,12,37,49,1,Matches
ce9c203e,Lasse Sørensen,dk DEN,MF,Stoke City,17,1999,0.8,2,2,2,0,0,1,5,20.0,4,2,0,2,0,2,3,0,Matches
e92cd3f7,Alexander Sørloth,no NOR,FW,Crystal Palace,21,1995,4.0,6,3,1,4,1,4,12,33.3,8,5,0,5,2,8,5,0,Matches
2475dcc6,Dušan Tadić,rs SRB,"MF,FW",Southampton,28,1988,31.0,46,29,16,22,8,11,35,31.4,24,38,2,36,19,65,29,1,Matches
e514ab62,Matt Targett,eng ENG,DF,Southampton,21,1995,1.8,6,3,5,0,1,1,3,33.3,2,3,2,1,3,9,7,1,Matches
15ea812b,James Tarkowski,eng ENG,DF,Burnley,24,1992,31.0,46,26,36,10,0,17,38,44.7,21,55,43,12,50,96,223,2,Matches
cc2d7ad5,Charlie Taylor,eng ENG,DF,Burnley,23,1993,10.6,16,4,9,6,1,7,12,58.3,5,13,5,8,15,31,52,0,Matches
e7ca0439,James Tomkins,eng ENG,DF,Crystal Palace,28,1989,26.5,47,26,36,10,1,16,31,51.6,15,24,12,12,63,110,216,1,Matches
9a104dee,Cenk Tosun,tr TUR,FW,Everton,26,1991,11.0,6,3,2,2,2,1,11,9.1,10,9,4,5,1,7,13,0,Matches
c204f844,Yaya Touré,ci CIV,MF,Manchester City,34,1983,2.6,2,2,1,0,1,1,1,100.0,0,3,1,2,5,7,4,0,Matches
b28bbd58,Andros Townsend,eng ENG,"FW,MF",Crystal Palace,26,1991,34.7,60,34,35,12,13,24,75,32.0,51,49,1,48,35,95,28,0,Matches
21512407,Kieran Trippier,eng ENG,DF,Tottenham,26,1990,21.3,52,30,29,21,2,21,44,47.7,23,31,6,25,20,72,53,1,Matches
2baec6ce,Axel Tuanzebe,eng ENG,FW,Manchester Utd,19,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
efe6f6ac,Josh Tymon,eng ENG,DF,Stoke City,18,1999,1.8,5,1,4,1,0,2,3,66.7,1,1,0,1,1,6,3,0,Matches
eed56f6c,Leonardo Ulloa,ar ARG,FW,Leicester City,31,1986,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
eed56f6c,Leonardo Ulloa,ar ARG,FW,Brighton,31,1986,3.0,3,1,0,1,2,1,7,14.3,6,1,0,1,0,3,3,0,Matches
08aa17d0,Antonio Valencia,ec ECU,DF,Manchester Utd,31,1985,30.4,57,32,21,28,8,16,36,44.4,20,47,6,41,48,105,80,0,Matches
e06683ca,Virgil van Dijk,nl NED,DF,Southampton,26,1991,11.0,10,7,6,2,2,2,3,66.7,1,14,13,1,29,39,81,1,Matches
e06683ca,Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14.0,15,8,7,7,1,4,5,80.0,1,8,2,6,18,33,80,1,Matches
45963054,Jamie Vardy,eng ENG,FW,Leicester City,30,1987,36.1,15,9,3,7,5,1,8,12.5,7,21,1,20,2,17,17,0,Matches
ba23a904,Jan Vertonghen,be BEL,DF,Tottenham,30,1987,35.6,64,41,40,20,4,25,36,69.4,11,29,11,18,60,124,177,0,Matches
aa8e289e,Nikola Vlašić,hr CRO,"MF,FW",Everton,19,1997,6.4,9,5,3,6,0,2,9,22.2,7,14,2,12,9,18,10,0,Matches
1d6ac165,Sam Vokes,wls WAL,FW,Burnley,27,1989,11.1,3,1,1,2,0,0,3,0.0,3,6,2,4,3,6,15,0,Matches
1bebde9d,Michel Vorm,nl NED,GK,Tottenham,33,1983,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
a440d8ca,Molla Wagué,ml MLI,DF,Watford,26,1991,4.9,5,3,3,2,0,2,5,40.0,3,1,0,1,9,14,30,0,Matches
1ecb65be,Theo Walcott,eng ENG,"FW,MF",Arsenal,28,1989,0.8,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
1ecb65be,Theo Walcott,eng ENG,FW,Everton,28,1989,12.8,27,19,12,13,2,7,15,46.7,8,9,0,9,8,35,12,0,Matches
86dd77d1,Kyle Walker,eng ENG,DF,Manchester City,27,1990,30.9,47,31,20,21,6,18,31,58.1,13,21,2,19,29,76,75,2,Matches
984a5a64,Kyle Walker-Peters,eng ENG,DF,Tottenham,20,1997,2.1,5,4,4,1,0,2,4,50.0,2,2,0,2,3,8,8,0,Matches
0356cf4f,Jonathan Walters,ie IRL,FW,Burnley,33,1983,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
9e525177,Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,19,1997,7.0,30,19,20,7,3,15,19,78.9,4,18,7,11,15,45,45,0,Matches
e0900238,Victor Wanyama,ke KEN,MF,Tottenham,26,1991,9.4,30,20,13,16,1,14,31,45.2,17,13,3,10,10,40,20,1,Matches
8a7ff278,Joel Ward,eng ENG,DF,Crystal Palace,27,1989,17.9,35,30,23,12,0,16,28,57.1,12,27,11,16,28,63,76,0,Matches
3831b9fe,Stephen Ward,ie IRL,DF,Burnley,31,1985,27.3,39,31,27,8,4,20,42,47.6,22,27,12,15,42,81,126,0,Matches
3515d404,James Ward-Prowse,eng ENG,"FW,MF",Southampton,22,1994,19.1,23,16,9,11,3,3,27,11.1,24,29,1,28,8,31,31,0,Matches
df540668,Ben Watson,eng ENG,MF,Watford,32,1985,5.1,19,9,9,9,1,10,31,32.3,21,6,1,5,7,26,10,0,Matches
ce5143da,Danny Welbeck,eng ENG,"FW,MF",Arsenal,26,1990,13.3,20,13,9,5,6,4,12,33.3,8,22,1,21,11,31,13,0,Matches
b070482d,Nahki Wells,bm BER,"FW,MF",Burnley,27,1990,0.6,4,3,0,3,1,1,1,100.0,0,2,0,2,0,4,0,0,Matches
495945ef,Ashley Westwood,eng ENG,MF,Burnley,27,1990,12.3,13,10,10,3,0,2,16,12.5,14,17,9,8,19,32,16,0,Matches
a32204c9,Dean Whitehead,eng ENG,MF,Huddersfield,35,1982,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,0,0,Matches
eb58eef0,Georginio Wijnaldum,nl NED,MF,Liverpool,26,1990,26.5,34,23,13,16,5,11,23,47.8,12,20,2,18,25,59,20,0,Matches
a498e276,Ashley Williams,wls WAL,DF,Everton,32,1984,20.4,23,13,17,6,0,9,18,50.0,9,31,23,8,36,59,173,3,Matches
ec9a28ce,Danny Williams,us USA,MF,Huddersfield,28,1989,12.5,23,14,13,9,1,7,22,31.8,15,12,2,10,26,49,27,0,Matches
8b9ebd03,Willian,br BRA,"MF,FW",Chelsea,28,1988,21.0,22,17,7,12,3,0,16,0.0,16,13,1,12,10,32,10,0,Matches
a3b03921,Joe Willock,eng ENG,MF,Arsenal,17,1999,0.9,4,2,4,0,0,1,1,100.0,0,3,0,3,1,5,2,0,Matches
9c318325,Jack Wilshere,eng ENG,MF,Arsenal,25,1992,13.3,15,10,3,7,5,4,20,20.0,16,10,2,8,8,23,5,0,Matches
c596fcb0,Callum Wilson,eng ENG,FW,Bournemouth,25,1992,22.0,9,5,2,6,1,1,14,7.1,13,15,3,12,3,12,15,0,Matches
faf55ce4,Kevin Wimmer,at AUT,DF,Stoke City,24,1992,14.7,24,17,17,7,0,9,20,45.0,11,25,12,13,30,54,88,0,Matches
2f7acede,Harry Winks,eng ENG,MF,Tottenham,21,1996,8.6,15,12,8,5,2,8,16,50.0,8,12,2,10,11,26,10,1,Matches
4e9a0555,Chris Wood,nz NZL,FW,Burnley,25,1991,18.0,7,3,2,3,2,3,13,23.1,10,12,4,8,0,7,16,0,Matches
8aadeaef,Ben Woodburn,wls WAL,FW,Liverpool,17,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
e61b8aee,Granit Xhaka,ch SUI,MF,Arsenal,24,1992,36.2,78,57,35,40,3,26,69,37.7,43,30,9,21,37,115,68,4,Matches
bda6ffd4,Claudio Yacob,ar ARG,MF,West Brom,30,1987,10.0,36,27,23,13,0,13,27,48.1,14,14,6,8,16,52,25,2,Matches
ae0a7ddf,DeAndre Yedlin,us USA,DF,Newcastle Utd,24,1993,31.6,57,33,39,14,4,26,54,48.1,28,37,7,30,44,101,114,0,Matches
caffaf5a,Maya Yoshida,jp JPN,DF,Southampton,28,1988,22.8,27,20,22,5,0,18,25,72.0,7,32,14,18,41,68,133,2,Matches
be927d03,Ashley Young,eng ENG,DF,Manchester Utd,32,1985,27.1,53,32,30,17,6,18,47,38.3,29,24,5,19,57,110,86,1,Matches
6813ac34,Pablo Zabaleta,ar ARG,"DF,MF",West Ham,32,1985,36.5,96,67,54,28,14,48,98,49.0,50,72,13,59,61,157,152,0,Matches
b2bc3b1f,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,24,1992,28.3,30,23,9,13,8,4,23,17.4,19,24,0,24,7,37,4,0,Matches
7fe90ccd,Davide Zappacosta,it ITA,"DF,MF",Chelsea,25,1992,12.2,26,11,14,9,3,11,25,44.0,14,11,2,9,6,32,26,0,Matches
8abd0c03,Marvin Zeegelaar,nl NED,DF,Watford,26,1990,11.0,23,18,15,3,5,11,24,45.8,13,5,1,4,20,43,30,0,Matches
51cf8561,Oleksandr Zinchenko,ua UKR,DF,Manchester City,20,1996,5.9,23,16,11,9,3,7,13,53.8,6,3,0,3,6,29,7,0,Matches
ce4246f5,Kurt Zouma,fr FRA,DF,Stoke City,22,1994,32.1,50,38,35,13,2,21,28,75.0,7,42,23,19,61,111,246,2,Matches
